窗口 2026-08-07 → 2026-09-10（33.8 天）· $1000 · gas/次 $1.5 · 滑價 0.1%

SPY/QQQ v4 0.05% · 805h · 顯示價 1.0719 → 1.0700
半寬    策略            重開  在區間   估計費  feeGrowth費(有效段/段)   成本   LP−HODL    淨(估)   淨(feeGrowth)  份額 中位/p95/最大
±0.85  A 不重開            0     88%    $24.36    $24.36 (0/1)      $0.00    $-0.09    $24.27    $24.27*   0.29% / 1.00% / 2.41%
±0.85  B 出區間 24h        2     85%    $22.88    $22.88 (0/3)      $4.49   $-10.80     $7.59     $7.59*   0.28% / 0.97% / 1.90%
±0.85  C 超界 0.25%       6     88%    $23.68    $20.32 (1/7)     $13.42   $-35.54   $-25.28   $-28.64*   0.28% / 1.01% / 2.38%
±0.85  D 每週重開           4     95%    $24.18    $24.18 (0/5)      $7.31   $-10.73     $6.15     $6.15*   0.31% / 0.97% / 2.40%
±1.5   A 不重開            0    100%    $14.76    $12.97 (1/1)      $0.00    $-0.05    $14.71    $12.92    0.21% / 0.57% / 1.38%
±1.5   B 出區間 24h        0    100%    $14.76    $12.97 (1/1)      $0.00    $-0.05    $14.71    $12.92    0.21% / 0.57% / 1.38%
±1.5   C 超界 0.25%       0    100%    $14.76    $12.97 (1/1)      $0.00    $-0.05    $14.71    $12.92    0.21% / 0.57% / 1.38%
±1.5   D 每週重開           4    100%    $14.68    $12.90 (5/5)      $6.74    $-8.67    $-0.74    $-2.51    0.21% / 0.57% / 1.38%
±2.5   A 不重開            0    100%     $8.89     $7.80 (1/1)      $0.00    $-0.03     $8.86     $7.77    0.13% / 0.34% / 0.84%
±2.5   B 出區間 24h        0    100%     $8.89     $7.80 (1/1)      $0.00    $-0.03     $8.86     $7.77    0.13% / 0.34% / 0.84%
±2.5   C 超界 0.25%       0    100%     $8.89     $7.80 (1/1)      $0.00    $-0.03     $8.86     $7.77    0.13% / 0.34% / 0.84%
±2.5   D 每週重開           4    100%     $8.85     $7.76 (5/5)      $6.44    $-7.60    $-5.20    $-6.28    0.13% / 0.34% / 0.83%

USDG/AMD v4 1.00% · 680h · 顯示價 483.3127 → 510.0058
半寬    策略            重開  在區間   估計費  feeGrowth費(有效段/段)   成本   LP−HODL    淨(估)   淨(feeGrowth)  份額 中位/p95/最大
±10    A 不重開            0    100%   $298.49   $287.25 (1/1)      $0.00    $-7.58   $290.91   $279.67    2.62% / 3.92% / 6.50%
±10    B 出區間 24h        0    100%   $298.49   $287.25 (1/1)      $0.00    $-7.58   $290.91   $279.67    2.62% / 3.92% / 6.50%
±10    C 超界 0.25%       0    100%   $298.49   $287.25 (1/1)      $0.00    $-7.58   $290.91   $279.67    2.62% / 3.92% / 6.50%
±10    D 每週重開           4    100%   $288.21   $280.30 (5/5)     $17.40   $-62.36   $208.45   $200.55    2.51% / 3.86% / 6.24%
±6     A 不重開            0     89%   $456.95   $467.56 (1/1)      $0.00   $-12.54   $444.41   $455.02    4.04% / 6.33% / 10.30%
±6     B 出區間 24h        3     90%   $440.81   $443.16 (4/4)     $20.58  $-106.69   $313.54   $315.89    3.81% / 6.03% / 9.73%
±6     C 超界 0.25%       5     97%   $453.15   $454.88 (6/6)     $34.92  $-117.34   $300.89   $302.62    4.06% / 6.05% / 9.87%
±6     D 每週重開           4     81%   $437.44   $441.56 (5/5)     $21.06   $-91.62   $324.76   $328.88    3.80% / 6.09% / 9.73%
±15    A 不重開            0    100%   $202.04   $193.75 (1/1)      $0.00    $-5.10   $196.94   $188.65    1.77% / 2.67% / 4.46%
±15    B 出區間 24h        0    100%   $202.04   $193.75 (1/1)      $0.00    $-5.10   $196.94   $188.65    1.77% / 2.67% / 4.46%
±15    C 超界 0.25%       0    100%   $202.04   $193.75 (1/1)      $0.00    $-5.10   $196.94   $188.65    1.77% / 2.67% / 4.46%
±15    D 每週重開           4    100%   $197.30   $191.32 (5/5)     $13.63   $-43.34   $140.33   $134.35    1.72% / 2.64% / 4.34%

* = 有段落拿不到 feeGrowth，該段用估計費
